"","Sample","Leaf_cm2","Lesion_cm2","Rust_cm2","SampID","Leaf","Replicate","Treatment","Genotype","Region"
"211","G2.T4.R2_L2",30.5675,1.1965,0.0057,"G2.T4.R2","L2","R2","Aureobasidium","West-6","Western"
"212","G2.T4.R4_L1",50.4078,1.7924,0.0108,"G2.T4.R4","L1","R4","Aureobasidium","West-6","Western"
"213","G2.T4.R4_L2",22.9333,0.338,0.0026,"G2.T4.R4","L2","R4","Aureobasidium","West-6","Western"
"214","G2.T4.R4_L3",44.1473,1.2194,1e-04,"G2.T4.R4","L3","R4","Aureobasidium","West-6","Western"
"215","G2.T4.R5_L2",60.4588,0.0106,0,"G2.T4.R5","L2","R5","Aureobasidium","West-6","Western"
"216","G2.T4.R5_L3",80.5234,0.0408,0,"G2.T4.R5","L3","R5","Aureobasidium","West-6","Western"
"217","G2.T5.R1_L1",38.659,1.5443,0,"G2.T5.R1","L1","R1","Dioszegia","West-6","Western"
"218","G2.T5.R4_L1",42.0829,1.2228,0.0022,"G2.T5.R4","L1","R4","Dioszegia","West-6","Western"
"219","G2.T5.R4_L2",37.4211,0.7778,0.0054,"G2.T5.R4","L2","R4","Dioszegia","West-6","Western"
"220","G2.T5.R5_L1",75.5143,0.4585,0,"G2.T5.R5","L1","R5","Dioszegia","West-6","Western"
"221","G2.T5.R5_L3",92.7007,0.3204,0,"G2.T5.R5","L3","R5","Dioszegia","West-6","Western"
"222","G2.T6.R1_L1",26.0074,2.5113,0.0035,"G2.T6.R1","L1","R1","Control","West-6","Western"
"223","G2.T6.R1_L3",49.6646,3.5184,0.0066,"G2.T6.R1","L3","R1","Control","West-6","Western"
"224","G2.T6.R2_L1",39.0619,3.7218,0.0374,"G2.T6.R2","L1","R2","Control","West-6","Western"
"225","G2.T6.R2_L2",15.6802,0.772,2e-04,"G2.T6.R2","L2","R2","Control","West-6","Western"
"226","G2.T6.R4_L1",54.0267,0.2157,0,"G2.T6.R4","L1","R4","Control","West-6","Western"
"227","G2.T6.R5_L1",74.6506,0.0809,0,"G2.T6.R5","L1","R5","Control","West-6","Western"
